"date","theme","topic","index_within_date","new_word","theme_upper","category","content_length"
2020-04-22,"OFFICIAL"," Measures Undertaken To Ensure Safety Of Health Workers Drafted For COVID-19 Services.pdf",1," Measures Undertaken To Ensure Safety Of Health Workers Drafted For COVID-19 Services","OFFICIAL","OFFICIAL",12
2020-05-05,"AWARENESS"," 1.What is Corona Virus and how does it transmits.pptx",1," 1.What is Corona Virus and how does it transmits","AWARENESS","AWARENESS",9
2020-05-05,"AWARENESS"," 10. Thank you COVID Warriors.pptx",2," 10. Thank you COVID Warriors","AWARENESS","AWARENESS",5
2020-05-05,"AWARENESS"," 2. Handwashing.pptx",3," 2. Handwashing","AWARENESS","AWARENESS",2
2020-05-05,"AWARENESS"," 3. COVID Appropriate Behaviours Pack 1.0.pptx",4," 3. COVID Appropriate Behaviours Pack 1.0","AWARENESS","AWARENESS",6
2020-05-05,"AWARENESS"," 4. COVID Appropriate Behaviours Pack 2.0.pptx",5," 4. COVID Appropriate Behaviours Pack 2.0","AWARENESS","AWARENESS",6
2020-05-05,"AWARENESS"," 5. Home Quarantine.pptx",6," 5. Home Quarantine","AWARENESS","AWARENESS",3
2020-05-05,"AWARENESS"," 6. Myth Busters.pptx",7," 6. Myth Busters","AWARENESS","AWARENESS",3
2020-05-05,"AWARENESS"," 7. All India National Helpline 1075.pptx",8," 7. All India National Helpline 1075","AWARENESS","AWARENESS",6
2020-05-05,"AWARENESS"," 8. No Spitting.pptx",9," 8. No Spitting","AWARENESS","AWARENESS",3
2020-05-05,"AWARENESS"," 9. Stigma and Discrimination.pptx",10," 9. Stigma and Discrimination","AWARENESS","AWARENESS",4
2020-05-06,"OFFICIAL"," Railway Coaches as COVID Care Centre- Guidance document on appropriate management of suspect-confirmed cases of COVID-l9.pdf",1," Railway Coaches as COVID Care Centre- Guidance document on appropriate management of suspect-confirmed cases of COVID-l9","OFFICIAL","OFFICIAL",16
2020-05-07,"CITIZENS"," Additional guidelines for quarantine of returnees from abroad contacts isolation of suspect or confirmed cases in private facilities.pdf",1," Additional guidelines for quarantine of returnees from abroad contacts isolation of suspect or confirmed cases in private facilities","CITIZENS","CITIZENS",18
2020-05-07,"OFFICIAL"," Additional guidelines for quarantine of returnees from abroad or contacts or isolation of suspect or confirmed cases in private facilities.pdf",1," Additional guidelines for quarantine of returnees from abroad or contacts or isolation of suspect or confirmed cases in private facilities","OFFICIAL","OFFICIAL",20
2020-05-11,"HOSPITALS"," District level Facility based surveillance for COVID-19.pdf",1," District level Facility based surveillance for COVID-19","HOSPITALS","HOSPITALS",7
2020-05-11,"OFFICIAL"," District level Facility based surveillance for COVID-19.pdf",1," District level Facility based surveillance for COVID-19","OFFICIAL","OFFICIAL",7
2020-05-12,"INSPIRATIONAL"," Poster for Felicitating our Nurses and Midwives on International Nurse Day 2020.pdf",1," Poster for Felicitating our Nurses and Midwives on International Nurse Day 2020","INSPIRATIONAL","OTHERS",12
2020-05-14,"HOSPITALS"," Guidelines for RT-PCR based Pooled Sampling.pdf",1," Guidelines for RT-PCR based Pooled Sampling","HOSPITALS","HOSPITALS",6
2020-05-14,"OFFICIAL"," Guidelines for RT-PCR based Pooled Sampling.pdf",1," Guidelines for RT-PCR based Pooled Sampling","OFFICIAL","OFFICIAL",6
2020-05-15,"HOSPITALS"," Updated Additional guidelines on rational use of Personal Protective Equipment (setting approach for Health functionaries working in non COVID areas).pdf",1," Updated Additional guidelines on rational use of Personal Protective Equipment (setting approach for Health functionaries working in non COVID areas)","HOSPITALS","HOSPITALS",20
2020-05-15,"OFFICIAL"," Updated Additional guidelines on rational use of Personal Protective Equipment (setting approach for Health functionaries working in non-COVID areas).pdf",1," Updated Additional guidelines on rational use of Personal Protective Equipment (setting approach for Health functionaries working in non-COVID areas)","OFFICIAL","OFFICIAL",19
2020-05-16,"OFFICIAL"," Preparedness and response to COVID-19 in Urban Settlements.pdf",1," Preparedness and response to COVID-19 in Urban Settlements","OFFICIAL","OFFICIAL",8
2020-05-16,"OFFICIAL"," Updated Cluster Containment Plan for COVID-19.pdf",2," Updated Cluster Containment Plan for COVID-19","OFFICIAL","OFFICIAL",6
2020-05-16,"OFFICIAL"," Updated Containment Plan for Large Outbreaks of COVID-19.pdf",3," Updated Containment Plan for Large Outbreaks of COVID-19","OFFICIAL","OFFICIAL",8
2020-05-18,"CITIZENS"," Revised Strategy for COVlD-19 testing in lndia.pdf",1," Revised Strategy for COVlD-19 testing in lndia","CITIZENS","CITIZENS",7
2020-05-18,"EMPLOYEES"," Guidelines on preventive measures to contain spread of COVID-19 in workplace settings.pdf",1," Guidelines on preventive measures to contain spread of COVID-19 in workplace settings","EMPLOYEES","OTHERS",12
2020-05-18,"HOSPITALS"," Revised Strategy for COVlD-19 testing in lndia.pdf",1," Revised Strategy for COVlD-19 testing in lndia","HOSPITALS","HOSPITALS",7
2020-05-18,"OFFICIAL"," Revised Strategy for COVlD-19 testing in lndia.pdf",1," Revised Strategy for COVlD-19 testing in lndia","OFFICIAL","OFFICIAL",7
2020-05-21,"HOSPITALS"," Guidance note for Immunization services during and post COVID outbreak.pdf",1," Guidance note for Immunization services during and post COVID outbreak","HOSPITALS","HOSPITALS",10
2020-05-21,"OFFICIAL"," Guidance note for Immunization services during and post COVID outbreak.pdf",1," Guidance note for Immunization services during and post COVID outbreak","OFFICIAL","OFFICIAL",10
2020-05-22,"HOSPITALS"," Revised advisory on the use of Hydroxychloroquine (HCQ) as prophylaxis for COVID-19 infection.pdf",1," Revised advisory on the use of Hydroxychloroquine (HCQ) as prophylaxis for COVID-19 infection","HOSPITALS","HOSPITALS",13
2020-05-22,"OFFICIAL"," Revised advisory on the use of Hydroxychloroquine (HCQ) as prophylaxis for COVID-19 infection.pdf",1," Revised advisory on the use of Hydroxychloroquine (HCQ) as prophylaxis for COVID-19 infection","OFFICIAL","OFFICIAL",13
2020-05-24,"OFFICIAL"," Guidelines for international arrivals.pdf",1," Guidelines for international arrivals","OFFICIAL","OFFICIAL",4
2020-05-24,"TRAVEL_ADVISORY"," Guidelines for international arrivals.pdf",1," Guidelines for international arrivals","TRAVEL_ADVISORY","TRAVEL_ADVISORY",4
2020-05-27,"HOSPITALS"," Advisory on re-processing and re-use of eye protection - Goggles.pdf",1," Advisory on re-processing and re-use of eye protection - Goggles","HOSPITALS","HOSPITALS",10
2020-05-27,"HOSPITALS"," Guidance note on Essential RMNCAH+N Services during and post COVID.pdf",2," Guidance note on Essential RMNCAH+N Services during and post COVID","HOSPITALS","HOSPITALS",10
2020-05-27,"OFFICIAL"," Advisory on re-processing and re-use of eye protection - Goggles.pdf",1," Advisory on re-processing and re-use of eye protection - Goggles","OFFICIAL","OFFICIAL",10
2020-05-27,"OFFICIAL"," Guidance note on Essential RMNCAH+N Services during and post COVID.pdf",2," Guidance note on Essential RMNCAH+N Services during and post COVID","OFFICIAL","OFFICIAL",10
2020-06-03,"HOSPITALS"," Guidelines for safe ENT practice in COVID-19.pdf",1," Guidelines for safe ENT practice in COVID-19","HOSPITALS","HOSPITALS",7
